Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,589680368,7565.300079806797,5157188,66.16410670124031,767614,6436519,82.57727465055775,14194,0.1821018218683135,2085,
United States of America,Americas,91846336,27747.916,667118,201.545,127257,1027094,310.298,2830,0.855,337
India,South-East Asia,44286256,3209.139,95559,6.925,9062,527134,38.198,308,0.022,36
Brazil,Americas,34178240,16079.382,142460,67.021,7954,681557,320.643,1391,0.654,120
France,Europe,33239261,51106.379,114708,176.367,6331,149755,230.253,404,0.621,113
Germany,Europe,31666475,38075.902,259757,312.333,45665,146030,175.587,115,0.138,39
The United Kingdom,Europe,23421278,34500.894,3948,5.816,0,186087,274.117,0,0,0
Republic of Korea,Western Pacific,21682816,42292.102,836888,1632.341,180803,25752,50.229,370,0.722,42
Italy,Europe,21518365,36079.524,149885,251.31,8941,174172,292.032,746,1.251,70
Russian Federation,Europe,18964246,12995.043,193589,132.655,33106,383300,262.652,398,0.273,63
Türkiye,Europe,16528070,19597.17,0,0,0,100058,118.638,0,0,0
Japan,Western Pacific,15953318,12613.666,1335047,1055.57,178286,35655,28.191,1580,1.249,284
Spain,Europe,13306301,28112.331,25744,54.39,12162,111906,236.425,567,1.198,239
Viet Nam,Western Pacific,11367479,11678.287,15916,16.351,0,43098,44.276,4,0.004,0
Australia,Western Pacific,9830293,38550.344,145648,571.171,19847,12960,50.824,523,2.051,74
Argentina,Americas,9633732,21315.559,31198,69.029,0,129566,286.677,126,0.279,0
Netherlands,Europe,8368482,48073.768,11688,67.143,1915,22555,129.57,25,0.144,9
Iran (Islamic Republic of),Eastern Mediterranean,7488493,8915.621,42349,50.42,5972,143093,170.363,529,0.63,78
Mexico,Americas,6929003,5374.122,24945,19.347,2,328736,254.967,124,0.096,0
Indonesia,South-East Asia,6297484,2302.355,35879,13.117,5253,157296,57.507,147,0.054,19
Colombia,Americas,6286392,12354.628,7394,14.531,0,141287,277.671,212,0.417,0
Poland,Europe,6128006,16144.116,22701,59.805,7172,116798,307.702,81,0.213,25
China,Western Pacific,6013630,408.733,166969,11.349,25790,24285,1.651,230,0.016,27
Portugal,Europe,5381599,52269.295,15214,147.767,1047,24754,240.426,43,0.418,4
Ukraine,Europe,5030389,11502.302,0,0,0,108743,248.648,0,0,0
Austria,Europe,4885051,54881.652,37086,416.647,3968,20512,230.444,34,0.382,1
Malaysia,Western Pacific,4741413,14649.364,26915,83.158,3429,36102,111.543,58,0.179,9
Greece,Europe,4654737,43426.867,73710,687.685,0,32028,298.809,258,2.407,0
Thailand,South-East Asia,4626057,6627.591,14316,20.51,2461,31915,45.724,220,0.315,28
Israel,Europe,4618641,53360.512,10832,125.145,1484,11506,132.932,13,0.15,1
Belgium,Europe,4460582,38712.13,8909,77.319,7,32410,281.277,56,0.486,3
Chile,Americas,4393244,22981.784,73071,382.246,5513,60028,314.016,188,0.983,5
Canada,Americas,4109931,10889.498,25204,66.779,0,43178,114.403,263,0.697,0
Peru,Americas,4031007,12225.6,60671,184.008,3393,215028,652.156,334,1.013,72
Czechia,Europe,4017943,37572.152,12848,120.143,2803,40674,380.346,58,0.542,2
South Africa,Africa,4008443,6758.61,1527,2.575,0,101982,171.951,0,0,0
Switzerland,Europe,3993684,46145.122,13166,152.127,3,13489,155.859,6,0.069,0
Philippines,Western Pacific,3838062,3502.486,27291,24.905,2633,61127,55.782,263,0.24,49
Denmark,Europe,3258028,55953.299,12130,208.32,1900,6826,117.23,68,1.168,10
Romania,Europe,3163226,16365.319,32681,169.079,3600,66375,343.399,139,0.719,18
Sweden,Europe,2551996,24710.472,2526,24.459,0,19528,189.086,1,0.01,0
Iraq,Eastern Mediterranean,2454213,6101.593,3035,7.546,0,25338,62.995,12,0.03,0
Serbia,Europe,2219291,32039.635,41093,593.255,6589,16481,237.934,101,1.458,18
Hungary,Europe,2021648,20693.409,16249,166.323,16249,47083,481.937,117,1.198,117
Bangladesh,South-East Asia,2009434,1220.136,1366,0.829,212,29314,17.8,5,0.003,0
Slovakia,Europe,1829138,33513.752,3974,72.812,639,20317,372.251,43,0.788,6
Singapore,Western Pacific,1801936,30800.524,30855,527.405,5202,1565,26.751,23,0.393,5
Jordan,Eastern Mediterranean,1726717,16923.398,5939,58.208,0,14095,138.144,5,0.049,0
Georgia,Europe,1710749,42884.782,0,0,0,16877,423.07,0,0,0
New Zealand,Western Pacific,1686020,34963.47,28397,588.877,4673,2614,54.207,123,2.551,16
Ireland,Europe,1650791,33252.31,537,10.817,0,7743,155.969,6,0.121,0
